FRAME, TEMP, CHAN1, CHAN2, CHAN3, CHAN4, CHAN5, CHAN6, CHAN7, CHAN8, CHAN9, CHAN10, CHAN11, CHAN12, CHAN13, CHAN14, CHAN15, CHAN16, CHAN17, CHAN18, CHAN19, CHAN20, CHAN21, CHAN22, CHAN23, CHAN24, CHAN25, CHAN26, CHAN27, CHAN28, CHAN29, CHAN30, CHAN31, CHAN32
1.000000,39.404552,-1.443945,-2.024637,-2.032109,-0.984828,-0.698249,-0.427945,-0.285924,-0.256471,-0.251298,-0.250760,0.566910,0.517484,0.441185,0.339767,0.282625,0.195130,0.114968,0.009536,0.882919,0.885296,0.884082,0.884255,0.884788,0.882483,0.884885,0.884647,0.882305,0.882799,0.887576,0.884051,0.885347,0.881975
2.000000,39.405392,-1.462613,-2.044344,-2.053028,-0.996735,-0.711508,-0.439670,-0.292517,-0.260183,-0.251834,-0.253491,0.568014,0.518475,0.441929,0.339876,0.281190,0.195452,0.115261,0.008159,0.883330,0.882783,0.884836,0.884870,0.884749,0.883064,0.885168,0.885299,0.883354,0.883162,0.886217,0.885186,0.882898,0.882657
3.000000,39.403145,-1.458606,-2.039791,-2.050119,-0.991954,-0.703757,-0.428693,-0.286443,-0.257569,-0.251471,-0.255505,0.568038,0.518332,0.441805,0.339991,0.280936,0.194993,0.114615,0.007435,0.884053,0.883705,0.885631,0.885635,0.885354,0.883689,0.885936,0.886034,0.883956,0.883922,0.887054,0.885839,0.883652,0.883493
4.000000,39.403423,-1.436557,-2.018525,-2.030182,-0.981701,-0.695626,-0.426610,-0.286199,-0.253659,-0.249736,-0.253403,0.567577,0.517387,0.440917,0.340014,0.280354,0.194600,0.114436,0.007487,0.884011,0.883516,0.885746,0.885640,0.885390,0.883683,0.885959,0.885908,0.884016,0.883956,0.886908,0.885765,0.883735,0.883493
5.000000,39.402805,-1.454469,-2.035524,-2.045493,-0.995019,-0.716093,-0.452146,-0.300030,-0.260456,-0.257630,-0.259007,0.567494,0.517711,0.441406,0.341036,0.280908,0.195090,0.114769,0.007632,0.883165,0.882694,0.884787,0.884689,0.884654,0.882833,0.884976,0.884855,0.883119,0.883095,0.886056,0.884874,0.883151,0.882511
6.000000,39.404007,-1.446709,-2.026976,-2.038218,-0.988604,-0.707994,-0.440728,-0.293021,-0.258840,-0.258140,-0.261513,0.566914,0.516922,0.440727,0.339994,0.280423,0.194981,0.114406,0.007597,0.882572,0.882108,0.884043,0.884043,0.884070,0.882321,0.884283,0.884142,0.882575,0.882504,0.885381,0.884307,0.882523,0.881861
7.000000,39.402794,-1.436434,-2.018656,-2.031960,-0.982988,-0.698596,-0.425964,-0.282657,-0.253487,-0.256297,-0.263344,0.567429,0.517210,0.440919,0.338989,0.280424,0.194808,0.114167,0.007384,0.883502,0.882905,0.884810,0.884836,0.884856,0.883156,0.885091,0.884987,0.883350,0.883317,0.886180,0.885086,0.883142,0.882604
8.000000,39.403534,-1.456410,-2.037263,-2.046198,-0.990177,-0.696845,-0.416955,-0.280996,-0.253056,-0.258401,-0.263608,0.568382,0.518504,0.442050,0.340333,0.281019,0.195065,0.114333,0.006624,0.884839,0.884178,0.886117,0.886179,0.886093,0.884450,0.886355,0.886350,0.884563,0.884594,0.887440,0.886447,0.884243,0.883870
9.000000,39.403458,-1.426923,-2.005129,-2.014839,-0.965397,-0.663647,-0.387436,-0.270411,-0.246478,-0.253217,-0.258603,0.568149,0.517750,0.441153,0.340526,0.280939,0.195379,0.114827,0.007193,0.884473,0.884072,0.885923,0.885873,0.885855,0.884204,0.886060,0.886093,0.884242,0.884312,0.887152,0.886224,0.884031,0.883654
10.000000,39.402550,-1.401612,-1.977021,-1.991987,-0.946348,-0.640623,-0.367806,-0.262278,-0.243329,-0.249341,-0.256079,0.567990,0.517480,0.440957,0.340016,0.281307,0.195897,0.115617,0.008718,0.882993,0.882708,0.884591,0.884482,0.884510,0.882835,0.884731,0.884789,0.883017,0.882944,0.885739,0.884771,0.882723,0.882412
