FRAME, TEMP, CHAN1, CHAN2, CHAN3, CHAN4, CHAN5, CHAN6, CHAN7, CHAN8, CHAN9, CHAN10, CHAN11, CHAN12, CHAN13, CHAN14, CHAN15, CHAN16, CHAN17, CHAN18, CHAN19, CHAN20, CHAN21, CHAN22, CHAN23, CHAN24, CHAN25, CHAN26, CHAN27, CHAN28, CHAN29, CHAN30, CHAN31, CHAN32
1.000000,39.141285,-0.131206,-1.211028,-1.104300,-0.985081,-0.858069,-0.744703,-0.686522,-0.396980,-0.229259,-0.017353,0.444681,0.369901,0.302346,0.244812,0.220572,0.183340,0.157366,0.123246,0.884289,0.886964,0.885807,0.885555,0.886235,0.883507,0.886422,0.885308,0.883822,0.884250,0.888891,0.885593,0.887376,0.883483
2.000000,39.142845,-0.133897,-1.212667,-1.105039,-0.985676,-0.858065,-0.744473,-0.686610,-0.395778,-0.228918,-0.016959,0.445430,0.371053,0.302526,0.245128,0.218588,0.184174,0.157955,0.122327,0.883889,0.883435,0.885959,0.885517,0.885130,0.883484,0.885969,0.885188,0.884261,0.884218,0.886351,0.885825,0.883771,0.883270
3.000000,39.143024,-0.134954,-1.211170,-1.103412,-0.983996,-0.856291,-0.742726,-0.685076,-0.393629,-0.227817,-0.016304,0.445692,0.371538,0.302935,0.245586,0.219184,0.184720,0.158550,0.122930,0.883196,0.882916,0.885112,0.884721,0.884426,0.882699,0.885276,0.884396,0.883437,0.883455,0.885648,0.885061,0.883155,0.882624
4.000000,39.143738,-0.133987,-1.209563,-1.102228,-0.983028,-0.855629,-0.742157,-0.684501,-0.394062,-0.228633,-0.016693,0.444775,0.370665,0.302119,0.244919,0.218272,0.183923,0.157922,0.122173,0.882704,0.882394,0.884540,0.884236,0.883898,0.882142,0.884764,0.883888,0.882915,0.882783,0.885052,0.884565,0.882599,0.882161
5.000000,39.143875,-0.131866,-1.207786,-1.100935,-0.982016,-0.855225,-0.741729,-0.683936,-0.394642,-0.229060,-0.016920,0.444063,0.369961,0.301581,0.244385,0.217980,0.183441,0.157390,0.121778,0.882629,0.882284,0.884371,0.884121,0.883847,0.882001,0.884602,0.883732,0.882699,0.882731,0.885028,0.884415,0.882596,0.882018
6.000000,39.143761,-0.131797,-1.209264,-1.102531,-0.983511,-0.856800,-0.743330,-0.685247,-0.395337,-0.230025,-0.017723,0.443853,0.369571,0.301146,0.244110,0.217540,0.183034,0.156980,0.121266,0.883425,0.883097,0.885165,0.884936,0.884620,0.882810,0.885168,0.884411,0.883267,0.883569,0.885671,0.885160,0.883123,0.882758
7.000000,39.144749,-0.132959,-1.209913,-1.102828,-0.983633,-0.856691,-0.743139,-0.684993,-0.394134,-0.229507,-0.016853,0.444648,0.370196,0.301728,0.244915,0.218137,0.183678,0.157572,0.121851,0.882910,0.882800,0.884843,0.884523,0.884240,0.882389,0.884874,0.884139,0.882968,0.883206,0.885385,0.884848,0.882748,0.882427
8.000000,39.146572,-0.133750,-1.209750,-1.102447,-0.983182,-0.856269,-0.742495,-0.684651,-0.393194,-0.228885,-0.016650,0.444848,0.370333,0.301956,0.244902,0.218527,0.183854,0.157636,0.122039,0.881740,0.881644,0.883912,0.883491,0.883346,0.881441,0.883886,0.883202,0.882090,0.882211,0.884345,0.883918,0.881847,0.881492
9.000000,39.145386,-0.135013,-1.212214,-1.104748,-0.985213,-0.858237,-0.744157,-0.686606,-0.393514,-0.229985,-0.017826,0.444714,0.370289,0.301850,0.244130,0.218283,0.183269,0.157123,0.121545,0.882183,0.882248,0.884272,0.883889,0.883682,0.881822,0.884108,0.883565,0.882420,0.882573,0.884676,0.884240,0.882353,0.881838
10.000000,39.146416,-0.135075,-1.214483,-1.107149,-0.987348,-0.860133,-0.746256,-0.688500,-0.394588,-0.230988,-0.018689,0.444666,0.369897,0.301440,0.244094,0.217613,0.182693,0.156709,0.120867,0.883636,0.883553,0.885597,0.885220,0.884913,0.883116,0.885373,0.884978,0.883784,0.883917,0.886025,0.885480,0.883636,0.883224
11.000000,39.148567,-0.134840,-1.215492,-1.108225,-0.988364,-0.861054,-0.747058,-0.689230,-0.396536,-0.230819,-0.018883,0.444815,0.369639,0.301132,0.244022,0.217367,0.182558,0.156377,0.120450,0.884274,0.884136,0.886262,0.885809,0.885659,0.883748,0.886170,0.885812,0.884622,0.884735,0.886801,0.886213,0.884369,0.884032
12.000000,39.147438,-0.134385,-1.215154,-1.107542,-0.987687,-0.860231,-0.745616,-0.688183,-0.396098,-0.229592,-0.017419,0.446454,0.371481,0.303067,0.244878,0.219009,0.184140,0.157950,0.122370,0.884911,0.884649,0.886725,0.886308,0.886106,0.884204,0.886591,0.886276,0.885025,0.885067,0.887122,0.886699,0.884662,0.884381
13.000000,39.148262,-0.132485,-1.211660,-1.104373,-0.984812,-0.857560,-0.743371,-0.685814,-0.394103,-0.228324,-0.016526,0.446691,0.372021,0.303764,0.245866,0.219644,0.184907,0.159018,0.123393,0.884600,0.884175,0.886359,0.885973,0.885641,0.883837,0.886083,0.885750,0.884578,0.884475,0.886686,0.886258,0.884206,0.883917
14.000000,39.149292,-0.129670,-1.205479,-1.098870,-0.980167,-0.853599,-0.740252,-0.682495,-0.391998,-0.226944,-0.016066,0.445021,0.370514,0.302166,0.245577,0.218744,0.184380,0.158578,0.122749,0.882352,0.881987,0.884228,0.883862,0.883497,0.881806,0.883976,0.883659,0.882584,0.882425,0.884697,0.884159,0.882259,0.881900
15.000000,39.148216,-0.129438,-1.202699,-1.096132,-0.977802,-0.851556,-0.737965,-0.680565,-0.390670,-0.226145,-0.015305,0.444576,0.370285,0.302043,0.244795,0.218936,0.184450,0.158576,0.123136,0.880407,0.880025,0.882345,0.881910,0.881664,0.879985,0.882186,0.881795,0.880770,0.880539,0.882950,0.882253,0.880500,0.880056
16.000000,39.148125,-0.131764,-1.203833,-1.097274,-0.978557,-0.852514,-0.738674,-0.681509,-0.391989,-0.226778,-0.016268,0.443982,0.369839,0.301830,0.243983,0.218521,0.183702,0.158018,0.122535,0.879516,0.879179,0.881541,0.881012,0.880894,0.879188,0.881489,0.881025,0.880048,0.879771,0.882205,0.881437,0.879681,0.879212
17.000000,39.148567,-0.130389,-1.204011,-1.097794,-0.979265,-0.853373,-0.740301,-0.682654,-0.394504,-0.228041,-0.017353,0.442427,0.368231,0.300248,0.243385,0.216952,0.182375,0.156649,0.120946,0.880223,0.879998,0.882218,0.881661,0.881536,0.879898,0.882200,0.881727,0.880633,0.880387,0.882890,0.882153,0.880337,0.879819
18.000000,39.149620,-0.127133,-1.201731,-1.095874,-0.977738,-0.851880,-0.738866,-0.681040,-0.392250,-0.227116,-0.016033,0.442912,0.368666,0.300715,0.243928,0.217429,0.183330,0.157355,0.121888,0.880887,0.880513,0.882867,0.882272,0.882082,0.880450,0.882768,0.882199,0.881182,0.880825,0.883418,0.882778,0.880757,0.880283
19.000000,39.149811,-0.129001,-1.203302,-1.097364,-0.978843,-0.852942,-0.739567,-0.682021,-0.393220,-0.227602,-0.016329,0.442974,0.368712,0.300827,0.243421,0.217411,0.183221,0.157103,0.121725,0.880557,0.880214,0.882514,0.882136,0.881781,0.880149,0.882350,0.881854,0.880761,0.880614,0.883131,0.882434,0.880377,0.879998
