FRAME, TEMP, CHAN1, CHAN2, CHAN3, CHAN4, CHAN5, CHAN6, CHAN7, CHAN8, CHAN9, CHAN10, CHAN11, CHAN12, CHAN13, CHAN14, CHAN15, CHAN16, CHAN17, CHAN18, CHAN19, CHAN20, CHAN21, CHAN22, CHAN23, CHAN24, CHAN25, CHAN26, CHAN27, CHAN28, CHAN29, CHAN30, CHAN31, CHAN32
1.000000,39.661064,0.241577,0.264872,0.072435,-0.116925,-0.290967,-0.344591,-0.330812,-0.286650,-0.201779,-0.140201,-0.554735,-0.457104,-0.365319,-0.188874,-0.060661,-0.015779,0.023210,0.040613,0.888900,0.891284,0.890160,0.890201,0.890293,0.888499,0.890570,0.890080,0.888456,0.889180,0.892260,0.890160,0.891542,0.888202
2.000000,39.661438,0.243398,0.265275,0.072117,-0.118167,-0.292731,-0.346308,-0.332549,-0.288166,-0.202871,-0.137975,-0.556509,-0.459065,-0.366801,-0.189915,-0.063059,-0.015915,0.023521,0.039682,0.891949,0.891598,0.893586,0.893429,0.892838,0.891801,0.893384,0.893215,0.892071,0.892151,0.893492,0.893631,0.891876,0.891324
3.000000,39.659431,0.244296,0.267355,0.074246,-0.116028,-0.290606,-0.343731,-0.330356,-0.285915,-0.200466,-0.136643,-0.555329,-0.458081,-0.365351,-0.182297,-0.060333,-0.013392,0.025625,0.042360,0.893452,0.893116,0.895019,0.894867,0.894413,0.893113,0.894957,0.894582,0.893373,0.893469,0.894978,0.895065,0.893432,0.892695
4.000000,39.659779,0.244985,0.267831,0.074913,-0.115018,-0.289368,-0.342399,-0.329224,-0.284696,-0.199233,-0.134604,-0.554264,-0.457588,-0.364292,-0.179327,-0.059146,-0.012235,0.026298,0.043380,0.892656,0.892241,0.894175,0.894115,0.893545,0.892337,0.894118,0.893739,0.892516,0.892715,0.894095,0.894503,0.892524,0.891818
5.000000,39.660442,0.245254,0.266874,0.074068,-0.115454,-0.289626,-0.342744,-0.329452,-0.284804,-0.199447,-0.136283,-0.554387,-0.458286,-0.363999,-0.186425,-0.059820,-0.012912,0.025966,0.042767,0.891344,0.891204,0.892877,0.892874,0.892348,0.891228,0.892867,0.892587,0.891327,0.891655,0.893136,0.893436,0.891594,0.890766
6.000000,39.660480,0.243570,0.266439,0.073438,-0.116086,-0.290305,-0.343714,-0.330368,-0.285728,-0.200504,-0.138300,-0.556443,-0.460697,-0.366060,-0.187892,-0.061933,-0.014295,0.024586,0.041370,0.890774,0.890417,0.892385,0.892283,0.891836,0.890805,0.892446,0.892257,0.890973,0.891225,0.892726,0.892854,0.891036,0.890346
7.000000,39.660313,0.242765,0.267375,0.074510,-0.115118,-0.289432,-0.342748,-0.329489,-0.284956,-0.199764,-0.138808,-0.556314,-0.460508,-0.366202,-0.184008,-0.062008,-0.013745,0.024925,0.041877,0.890557,0.890129,0.892007,0.891970,0.891422,0.890505,0.892184,0.891999,0.890773,0.890870,0.892309,0.892462,0.890697,0.889950
8.000000,39.658169,0.243775,0.266685,0.074329,-0.115076,-0.288939,-0.342081,-0.328763,-0.284211,-0.198942,-0.137155,-0.554080,-0.458487,-0.364143,-0.185566,-0.061418,-0.012683,0.025474,0.042301,0.889249,0.888907,0.890717,0.890575,0.890148,0.889124,0.890833,0.890639,0.889482,0.889430,0.891031,0.891159,0.889481,0.888674
9.000000,39.658436,0.244783,0.265536,0.073442,-0.115905,-0.289289,-0.342407,-0.328905,-0.284263,-0.199070,-0.136230,-0.552869,-0.457490,-0.362858,-0.197930,-0.060641,-0.012469,0.025611,0.042186,0.888768,0.888466,0.890245,0.889835,0.889632,0.888421,0.890168,0.889954,0.888815,0.888760,0.890504,0.890486,0.888983,0.888072
10.000000,39.658577,0.243561,0.264626,0.072291,-0.116932,-0.290521,-0.343570,-0.330012,-0.285413,-0.200276,-0.136994,-0.554480,-0.459124,-0.364105,-0.211736,-0.061653,-0.013820,0.024607,0.040965,0.889158,0.888809,0.890637,0.890282,0.890055,0.888798,0.890542,0.890362,0.889121,0.889110,0.890712,0.890762,0.889209,0.888367
