FRAME, TEMP, CHAN1, CHAN2, CHAN3, CHAN4, CHAN5, CHAN6, CHAN7, CHAN8, CHAN9, CHAN10, CHAN11, CHAN12, CHAN13, CHAN14, CHAN15, CHAN16, CHAN17, CHAN18, CHAN19, CHAN20, CHAN21, CHAN22, CHAN23, CHAN24, CHAN25, CHAN26, CHAN27, CHAN28, CHAN29, CHAN30, CHAN31, CHAN32
1.000000,39.414494,-1.022881,-1.691928,-1.560483,-1.278460,-0.931964,-0.743014,-0.547035,-0.366790,-0.141924,-0.094471,0.547328,0.484178,0.406013,0.317230,0.272613,0.208662,0.153473,0.082230,0.889237,0.891972,0.890648,0.890916,0.890692,0.888907,0.891564,0.890620,0.889080,0.890231,0.894029,0.891222,0.892209,0.889056
2.000000,39.414154,-1.020074,-1.689296,-1.557993,-1.283186,-0.931156,-0.742412,-0.545311,-0.364085,-0.137513,-0.090042,0.547498,0.483548,0.405663,0.317488,0.270874,0.208932,0.154189,0.082036,0.889604,0.889651,0.891164,0.891269,0.890459,0.889377,0.891358,0.890888,0.889800,0.890383,0.892378,0.891814,0.889883,0.889394
3.000000,39.414108,-1.020817,-1.688408,-1.557621,-1.274491,-0.929676,-0.739674,-0.541419,-0.358788,-0.137867,-0.090757,0.547219,0.483519,0.405576,0.317250,0.270793,0.208936,0.153940,0.082102,0.889136,0.889311,0.890559,0.890882,0.889959,0.888939,0.890839,0.890486,0.889220,0.889885,0.891913,0.891353,0.889513,0.888806
4.000000,39.413353,-1.018039,-1.685619,-1.554281,-1.275379,-0.926695,-0.736317,-0.536944,-0.352636,-0.135415,-0.091651,0.547494,0.483767,0.405931,0.317387,0.271045,0.209128,0.154017,0.082034,0.889271,0.889376,0.890755,0.891248,0.890275,0.889200,0.891158,0.890707,0.889448,0.890158,0.892024,0.891642,0.889575,0.889022
5.000000,39.414513,-1.015843,-1.683569,-1.551890,-1.278751,-0.926630,-0.738356,-0.541306,-0.360175,-0.136148,-0.092499,0.546979,0.483224,0.405533,0.317316,0.270932,0.209181,0.154113,0.081692,0.888498,0.888669,0.889992,0.890521,0.889588,0.888459,0.890480,0.889918,0.888682,0.889452,0.891306,0.890905,0.888925,0.888306
6.000000,39.412426,-1.019782,-1.686846,-1.555549,-1.273882,-0.928963,-0.741193,-0.546213,-0.367563,-0.141403,-0.094771,0.546896,0.483154,0.405297,0.317104,0.270728,0.209099,0.153821,0.080928,0.888286,0.888434,0.889874,0.890227,0.889326,0.888156,0.890250,0.889802,0.888419,0.889160,0.891048,0.890718,0.888593,0.888173
7.000000,39.412331,-1.021230,-1.689629,-1.557642,-1.280742,-0.931119,-0.742861,-0.548363,-0.370284,-0.144663,-0.096331,0.547344,0.483607,0.405612,0.317169,0.270734,0.208765,0.153642,0.080837,0.889205,0.889393,0.890743,0.890976,0.890149,0.888880,0.891057,0.890637,0.889172,0.889939,0.891963,0.891617,0.889440,0.889118
8.000000,39.413528,-1.025408,-1.696832,-1.563301,-1.293055,-0.937293,-0.749102,-0.553421,-0.375077,-0.147951,-0.100795,0.544893,0.480929,0.402790,0.314600,0.267382,0.205255,0.150216,0.077000,0.888694,0.888955,0.890324,0.890554,0.889806,0.888458,0.890616,0.890280,0.888771,0.889643,0.891637,0.891123,0.889096,0.888782
9.000000,39.412750,-1.028933,-1.702750,-1.568522,-1.297509,-0.940592,-0.751925,-0.555064,-0.375064,-0.146475,-0.102244,0.546150,0.481755,0.403339,0.315070,0.267840,0.205496,0.150202,0.076940,0.890174,0.890561,0.891851,0.892121,0.891404,0.889995,0.892228,0.891900,0.890403,0.891305,0.893240,0.892642,0.890761,0.890348
10.000000,39.414032,-1.028678,-1.701463,-1.568748,-1.290961,-0.938453,-0.748561,-0.551953,-0.370953,-0.143246,-0.098275,0.549735,0.485237,0.406866,0.317809,0.271313,0.208676,0.153478,0.080619,0.892304,0.892697,0.894016,0.894349,0.893478,0.892152,0.894397,0.894064,0.892619,0.893320,0.895384,0.894821,0.892834,0.892388
