FRAME, TEMP, CHAN1, CHAN2, CHAN3, CHAN4, CHAN5, CHAN6, CHAN7, CHAN8, CHAN9, CHAN10, CHAN11, CHAN12, CHAN13, CHAN14, CHAN15, CHAN16, CHAN17, CHAN18, CHAN19, CHAN20, CHAN21, CHAN22, CHAN23, CHAN24, CHAN25, CHAN26, CHAN27, CHAN28, CHAN29, CHAN30, CHAN31, CHAN32
1.000000,39.073151,0.567975,-0.297778,-0.410501,-0.495368,-0.556627,-0.534749,-0.466501,-0.400785,-0.271562,-0.036605,0.026959,0.000937,0.007677,0.045676,0.063403,0.074825,0.084105,0.076166,0.880458,0.880265,0.881795,0.881957,0.881652,0.880539,0.882000,0.882060,0.881111,0.881451,0.883435,0.882141,0.880376,0.879897
2.000000,39.072906,0.574588,-0.292962,-0.403927,-0.490500,-0.550451,-0.527879,-0.458777,-0.394181,-0.247113,-0.030740,0.031639,0.004552,0.010692,0.048464,0.067532,0.081274,0.087461,0.080145,0.880875,0.880543,0.882377,0.882296,0.881527,0.880968,0.882540,0.882419,0.881305,0.881667,0.883297,0.882777,0.880775,0.880454
3.000000,39.073292,0.574673,-0.293242,-0.404643,-0.491144,-0.551229,-0.529248,-0.459802,-0.395248,-0.247442,-0.031921,0.030822,0.003956,0.010108,0.048238,0.067078,0.080655,0.087069,0.079706,0.881444,0.881417,0.883046,0.882940,0.882213,0.881679,0.883281,0.883045,0.881925,0.882214,0.884059,0.883318,0.881646,0.880949
4.000000,39.073196,0.574763,-0.294616,-0.406102,-0.492639,-0.553061,-0.531327,-0.461424,-0.396799,-0.247208,-0.032163,0.030021,0.003067,0.009061,0.047477,0.065916,0.079862,0.086186,0.078581,0.882163,0.881836,0.883697,0.883528,0.882815,0.882440,0.884032,0.883749,0.882652,0.882810,0.884546,0.883925,0.882151,0.881482
5.000000,39.072823,0.576602,-0.295704,-0.407034,-0.493794,-0.554127,-0.531941,-0.461999,-0.397304,-0.244711,-0.030662,0.031264,0.004051,0.010134,0.047975,0.066986,0.081002,0.086950,0.079644,0.883778,0.883612,0.885303,0.885142,0.884499,0.884022,0.885627,0.885355,0.884096,0.884193,0.886169,0.885373,0.883740,0.882975
6.000000,39.075119,0.577238,-0.295154,-0.406628,-0.493124,-0.553306,-0.531109,-0.461163,-0.396473,-0.244785,-0.030612,0.032144,0.004936,0.011071,0.048905,0.067750,0.081762,0.087864,0.080552,0.883997,0.883734,0.885732,0.885479,0.884737,0.884260,0.885872,0.885690,0.884262,0.884388,0.886338,0.885630,0.883786,0.883245
7.000000,39.073284,0.576385,-0.294365,-0.405595,-0.491806,-0.551897,-0.529722,-0.459870,-0.395270,-0.245627,-0.030513,0.032389,0.005225,0.011209,0.049275,0.067850,0.081795,0.087997,0.080650,0.883197,0.882926,0.884947,0.884667,0.883884,0.883391,0.884956,0.884885,0.883390,0.883598,0.885491,0.884789,0.883035,0.882494
8.000000,39.072979,0.575412,-0.294865,-0.405649,-0.491919,-0.552084,-0.529616,-0.460147,-0.395428,-0.244290,-0.030452,0.032258,0.005049,0.010993,0.048618,0.067608,0.081449,0.087595,0.080346,0.883011,0.882832,0.884786,0.884554,0.883720,0.883339,0.884794,0.884797,0.883425,0.883431,0.885234,0.884812,0.882878,0.882485
9.000000,39.072060,0.575093,-0.296902,-0.407995,-0.494502,-0.555038,-0.532666,-0.463109,-0.398100,-0.246884,-0.032494,0.030327,0.003172,0.009152,0.046966,0.066017,0.079839,0.086091,0.078779,0.884499,0.884342,0.886292,0.885955,0.885172,0.884900,0.886276,0.886288,0.884953,0.884954,0.886829,0.886428,0.884494,0.884047
10.000000,39.071800,0.576764,-0.297111,-0.408678,-0.495495,-0.556051,-0.533935,-0.463888,-0.398826,-0.251191,-0.032461,0.030129,0.003011,0.008986,0.047298,0.065874,0.080029,0.086385,0.078828,0.886132,0.885938,0.888065,0.887493,0.886833,0.886564,0.887898,0.887839,0.886585,0.886736,0.888572,0.888030,0.886275,0.885810
11.000000,39.072163,0.577089,-0.295476,-0.407015,-0.493786,-0.554107,-0.532178,-0.462089,-0.397205,-0.251451,-0.031272,0.030966,0.003907,0.009819,0.048292,0.066719,0.080854,0.087273,0.079786,0.885045,0.885035,0.886924,0.886530,0.885871,0.885465,0.886843,0.886730,0.885463,0.885724,0.887485,0.886872,0.885183,0.884777
12.000000,39.072605,0.577078,-0.294005,-0.405130,-0.491928,-0.551985,-0.529965,-0.459925,-0.395260,-0.249798,-0.030582,0.032201,0.005096,0.010958,0.049022,0.067834,0.081805,0.088109,0.080853,0.883623,0.883478,0.885172,0.884693,0.883883,0.883468,0.884710,0.884650,0.883138,0.883394,0.885081,0.884439,0.882515,0.882169
13.000000,39.073524,0.576702,-0.292684,-0.403382,-0.490057,-0.550001,-0.527997,-0.457870,-0.393433,-0.247153,-0.029383,0.033360,0.006234,0.012075,0.049984,0.068701,0.082719,0.088969,0.081630,0.882348,0.882133,0.883811,0.883252,0.882358,0.881964,0.883262,0.883230,0.881686,0.881744,0.883641,0.882966,0.881167,0.880544
14.000000,39.072647,0.575413,-0.290501,-0.400776,-0.487189,-0.546854,-0.524425,-0.454927,-0.390610,-0.245664,-0.027556,0.034959,0.007910,0.013772,0.050990,0.069972,0.083944,0.090198,0.082820,0.879782,0.879603,0.881388,0.881149,0.880302,0.879899,0.881434,0.881339,0.879822,0.879845,0.881799,0.881364,0.879585,0.879000
15.000000,39.072746,0.572870,-0.290696,-0.400772,-0.486756,-0.546173,-0.524105,-0.454798,-0.390776,-0.246415,-0.028638,0.034013,0.007104,0.012771,0.050436,0.068817,0.082610,0.088897,0.081356,0.877693,0.877712,0.879511,0.879322,0.878602,0.878146,0.879752,0.879708,0.878081,0.878290,0.880089,0.879731,0.877974,0.877457
16.000000,39.073341,0.571705,-0.292991,-0.403168,-0.489027,-0.548461,-0.526990,-0.457365,-0.393283,-0.248819,-0.030434,0.031921,0.004935,0.010491,0.048988,0.066743,0.080491,0.086823,0.079167,0.878243,0.878171,0.880110,0.879848,0.879238,0.878652,0.880400,0.880208,0.878862,0.879013,0.880785,0.880284,0.878558,0.878153
17.000000,39.072239,0.573628,-0.292716,-0.403268,-0.489773,-0.549410,-0.527667,-0.458318,-0.393732,-0.249779,-0.029902,0.031461,0.004542,0.010211,0.048611,0.067053,0.081066,0.087177,0.079864,0.880016,0.879733,0.881784,0.881493,0.880804,0.880229,0.881844,0.881664,0.880420,0.880530,0.882386,0.881838,0.880038,0.879782
18.000000,39.071045,0.574652,-0.291559,-0.402238,-0.488937,-0.548795,-0.526865,-0.457734,-0.393043,-0.247102,-0.029627,0.031984,0.005243,0.011033,0.048956,0.068039,0.082028,0.088141,0.080841,0.880416,0.880028,0.882300,0.881915,0.881160,0.880650,0.882127,0.882153,0.880741,0.880811,0.882741,0.882229,0.880416,0.880270
19.000000,39.071228,0.573542,-0.292640,-0.403334,-0.489769,-0.549869,-0.527881,-0.458528,-0.393994,-0.250248,-0.031626,0.031140,0.004582,0.010386,0.047872,0.067296,0.080990,0.087249,0.079901,0.880082,0.879661,0.881970,0.881591,0.880804,0.880242,0.881850,0.881832,0.880358,0.880318,0.882439,0.881863,0.880093,0.879932
20.000000,39.070175,0.573511,-0.294929,-0.405721,-0.492187,-0.552313,-0.530420,-0.460564,-0.396317,-0.252306,-0.032795,0.030170,0.003503,0.009149,0.047006,0.066017,0.079719,0.085987,0.078525,0.881073,0.880511,0.882931,0.882463,0.881623,0.881031,0.882714,0.882654,0.881236,0.881175,0.883347,0.882792,0.880951,0.880800
21.000000,39.070770,0.574774,-0.294640,-0.405412,-0.491960,-0.551969,-0.530091,-0.460295,-0.396015,-0.246568,-0.031635,0.031324,0.004587,0.010101,0.048193,0.066904,0.080605,0.086943,0.079277,0.881960,0.881401,0.883834,0.883289,0.882327,0.881877,0.883547,0.883450,0.881999,0.882071,0.884304,0.883500,0.881875,0.881688
22.000000,39.070713,0.575190,-0.294829,-0.405874,-0.492705,-0.552700,-0.530979,-0.461210,-0.396582,-0.243930,-0.031965,0.030728,0.003971,0.009450,0.047974,0.066308,0.080309,0.086618,0.078883,0.882665,0.882087,0.884559,0.884112,0.883036,0.882675,0.884457,0.884289,0.882905,0.883006,0.885071,0.884377,0.882827,0.882546
23.000000,39.070732,0.575913,-0.293828,-0.405016,-0.491977,-0.551992,-0.530245,-0.460642,-0.395689,-0.243453,-0.031327,0.031144,0.004506,0.010014,0.048624,0.066937,0.080939,0.087183,0.079680,0.882974,0.882460,0.884788,0.884441,0.883394,0.883081,0.884864,0.884651,0.883422,0.883502,0.885381,0.884746,0.883318,0.882871
24.000000,39.070393,0.575365,-0.292860,-0.404105,-0.491062,-0.551104,-0.529339,-0.459799,-0.394973,-0.245028,-0.031494,0.030886,0.004331,0.009852,0.048391,0.066804,0.080742,0.086968,0.079675,0.882439,0.881877,0.884164,0.883896,0.882735,0.882574,0.884197,0.883949,0.882841,0.882822,0.884742,0.884077,0.882648,0.882141
25.000000,39.069496,0.575292,-0.294846,-0.406262,-0.493370,-0.553459,-0.531687,-0.461808,-0.396940,-0.247449,-0.032408,0.030072,0.003309,0.008787,0.047189,0.065984,0.079819,0.085836,0.078597,0.883215,0.882715,0.884929,0.884675,0.883525,0.883310,0.884908,0.884652,0.883569,0.883521,0.885598,0.884832,0.883382,0.882875
26.000000,39.069111,0.576626,-0.295025,-0.406181,-0.493397,-0.553388,-0.531308,-0.461404,-0.396421,-0.246278,-0.030922,0.031549,0.004607,0.010230,0.048181,0.067410,0.081185,0.087090,0.079809,0.883603,0.883234,0.885454,0.885159,0.884059,0.883664,0.885331,0.885212,0.884016,0.884015,0.886097,0.885309,0.883773,0.883356
27.000000,39.068363,0.575975,-0.295874,-0.406982,-0.493890,-0.553858,-0.531798,-0.461896,-0.397107,-0.246945,-0.031358,0.031265,0.004110,0.009950,0.047979,0.066812,0.080647,0.086660,0.079253,0.883689,0.883286,0.885555,0.885177,0.884205,0.883669,0.885424,0.885315,0.884042,0.884047,0.886027,0.885328,0.883859,0.883366
28.000000,39.069214,0.576432,-0.295913,-0.407108,-0.493787,-0.553739,-0.531485,-0.461554,-0.396823,-0.248526,-0.031020,0.032138,0.004821,0.010546,0.048541,0.067273,0.081155,0.087211,0.079777,0.884490,0.884060,0.886210,0.885950,0.885002,0.884493,0.886210,0.886013,0.884756,0.884714,0.886656,0.885921,0.884583,0.884012
